Date,Daily Mirror,The Sun,Telegraph,Daily Mail/Mail on Sunday,Daily Express,Independent,Times,Guardian,Total,Other
7/1/13,0,0,0,1,0,0,0,0,1,0
8/11/13,0,0,0,0,0,0,1,0,1,0
4/2/14,0,0,0,0,0,0,0,1,1,0
4/27/14,1,0,0,0,0,1,0,0,2,0
4/28/14,0,1,1,0,0,0,1,0,3,0
5/11/14,0,0,0,0,0,1,0,0,1,0
5/13/14,0,1,0,0,0,0,0,1,2,0
5/14/14,0,0,0,0,0,0,0,2,2,0
5/18/14,0,1,0,0,0,0,0,0,1,0
5/19/14,0,0,0,0,0,0,0,1,1,0
5/20/14,0,0,0,0,0,0,1,0,1,0
5/21/14,0,0,0,0,0,0,1,0,1,0
5/22/14,0,0,0,0,0,0,0,1,1,0
5/24/14,0,0,0,0,0,0,1,0,1,0
5/25/14,0,0,0,0,0,0,2,0,2,0
5/26/14,0,0,0,0,0,1,0,0,1,0
5/28/14,0,0,0,0,0,0,0,1,1,0
5/29/14,0,0,0,0,0,1,0,0,1,0
6/3/14,0,1,0,0,0,0,0,0,1,0
6/22/14,0,0,0,0,0,1,0,0,1,0
6/23/14,1,0,0,0,0,0,0,0,1,0
7/5/14,0,2,0,0,0,0,0,0,2,0
7/16/14,0,0,0,0,0,1,0,0,1,0
7/18/14,0,1,0,0,0,0,0,0,1,0
7/28/14,1,0,0,0,0,0,0,0,1,0
7/29/14,0,0,0,0,0,0,1,0,1,0
8/24/14,0,1,0,0,0,0,0,0,1,0
8/27/14,0,0,0,0,0,0,0,2,2,0
8/28/14,0,0,0,0,0,0,2,0,2,0
9/4/14,0,0,0,0,0,0,0,1,1,0
9/5/14,0,0,1,0,0,0,0,0,1,0
9/18/14,0,0,0,0,0,1,0,0,1,0
9/21/14,0,0,0,0,0,2,0,0,2,0
10/7/14,0,0,0,0,0,1,0,0,1,0
10/23/14,0,0,0,0,1,0,0,0,1,0
10/24/14,1,4,0,0,0,2,0,0,7,0
10/25/14,0,0,0,0,0,1,0,0,1,0
10/28/14,0,0,0,0,0,1,2,0,3,0
10/29/14,0,0,1,0,0,1,0,0,2,0
10/30/14,0,0,0,0,0,1,0,0,1,0
10/31/14,0,1,0,0,0,0,0,0,1,0
11/5/14,0,0,0,0,0,1,0,0,1,0
11/12/14,0,0,0,0,0,1,0,0,1,0
11/13/14,0,0,0,0,0,2,0,1,3,0
11/14/14,0,0,0,0,0,1,0,0,1,0
11/16/14,0,0,0,0,0,1,2,0,3,0
11/18/14,0,0,0,0,0,1,0,0,1,0
11/19/14,0,0,0,0,0,0,0,1,1,0
11/20/14,0,0,0,0,0,1,0,5,6,0
11/21/14,0,0,0,0,0,0,0,1,1,0
11/24/14,0,0,0,0,0,0,0,1,1,0
11/27/14,0,0,1,0,0,0,0,0,1,0
12/2/14,0,0,0,0,0,1,0,0,1,0
12/5/14,0,0,0,0,0,2,0,0,2,0
12/8/14,0,3,0,0,0,1,0,0,4,0
12/17/14,0,0,0,0,0,1,0,0,1,0
12/21/14,0,0,0,1,0,0,0,0,1,0
1/2/15,0,0,0,0,0,2,0,0,2,0
1/12/15,0,1,0,0,0,0,0,0,1,0
1/13/15,0,0,0,0,0,1,0,0,1,0
