date,posts,likes,shares,comments,haha,wow,sad,angry,love,photo,video,like_mention,share_mention,comment_mention,any_mention
8/6/13,2,10,3,1,0,0,0,0,0,0,0,0,0,0,0
8/13/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/20/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/27/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/3/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/10/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/24/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/1/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/8/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/15/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/22/13,15,104358,3839481,6302,10,8,215,14,601,15,0,12,12,0,12
10/29/13,53,3823,4865,646,0,0,0,0,0,49,0,41,41,0,42
11/5/13,68,7238,5491,673,0,0,0,0,0,52,0,45,43,3,47
11/12/13,80,18486,54580,1554,0,0,0,0,3,54,0,50,43,20,70
11/19/13,96,219490,774965,36076,68,1,3,2,13,82,0,68,50,10,82
11/26/13,100,73685,146884,6925,1,0,0,0,3,78,0,69,53,15,84
12/3/13,86,18642,19044,4023,0,0,0,0,4,60,0,56,48,15,72
12/10/13,130,77407,187305,8259,1,0,0,3,7,107,0,76,65,15,96
12/17/13,138,51773,43605,10770,0,0,0,1,7,106,0,70,58,18,91
12/24/13,104,31664,15490,4866,0,0,0,0,0,84,1,59,46,12,74
12/31/13,102,21297,22139,6632,0,0,0,0,0,78,0,45,32,18,64
1/7/14,111,26701,16731,4719,0,0,0,0,0,79,0,63,57,13,77
1/14/14,174,41758,40962,6627,0,0,0,0,0,133,0,109,93,16,128
1/21/14,120,43137,27221,10207,0,0,0,1,0,92,0,74,78,10,95
1/28/14,114,59048,65474,12522,1,0,0,0,0,89,0,65,62,16,87
2/4/14,96,39245,37647,5597,0,0,0,0,0,77,0,72,69,13,84
2/11/14,106,46230,36048,8104,0,0,0,0,0,81,0,57,64,21,86
2/18/14,114,126877,781426,16726,63,10,7,3,88,80,0,71,69,27,102
2/25/14,108,60873,56261,9310,1,0,0,0,0,75,0,82,70,19,99
3/4/14,106,50960,36469,8210,0,0,0,0,0,64,0,76,70,23,94
3/11/14,122,209617,1919077,41706,1,2,58,77,8,94,0,98,98,19,114
3/18/14,98,88792,348692,18688,1,0,0,2,0,75,0,68,66,13,79
3/25/14,154,136628,487766,53604,1,7,11,49,2,132,0,116,119,4,123
4/1/14,160,308207,154306,87723,0,0,0,0,2,130,0,108,104,1,114
4/8/14,143,817295,615810,28043,0,0,0,1,4,107,2,78,81,0,88
4/15/14,105,207139,557831,17506,0,0,0,1,5,78,1,45,19,1,48
4/22/14,87,424949,863620,41666,5,1,7,1,10,80,3,7,1,0,8
4/29/14,97,888167,490399,103329,415,215,15,48,1803,93,1,2,0,0,2
5/6/14,124,718522,1883552,61532,2,3,6,64,12,116,2,3,1,1,5
5/13/14,116,755463,300345,71376,0,0,3,0,7,109,1,2,0,0,2
5/20/14,107,355750,134749,57222,1,0,0,0,5,94,4,1,1,2,4
5/27/14,85,600547,722571,104809,1,0,0,1,8,76,1,1,2,2,5
6/3/14,120,1089270,8475903,79611,2,6,46,25,123,99,1,0,9,1,10
6/10/14,158,575678,424715,49931,8,1,1,0,13,128,2,7,8,0,14
6/17/14,152,570505,366571,61290,3,0,0,4,12,128,1,14,8,1,20
6/24/14,183,823926,1289016,67976,3,3,13,39,15,156,0,23,31,1,36
7/1/14,169,585003,172277,64893,1,0,4,2,39,101,0,3,4,0,6
7/8/14,162,275010,100738,47589,0,0,1,1,0,106,0,5,4,3,11
7/15/14,130,244596,75232,44382,0,0,0,1,1,85,1,2,2,0,4
7/22/14,125,252197,105570,36834,0,0,0,0,0,64,2,3,4,1,6
7/29/14,118,418326,166516,44723,0,0,4,0,0,92,0,5,5,1,10
8/5/14,130,538364,731734,52320,6,1,0,53,9,92,0,7,2,0,8
8/12/14,158,494473,3197824,46579,15,9,35,56,44,102,0,11,10,0,18
8/19/14,177,397342,310534,41979,0,1,0,5,2,130,0,15,7,0,15
8/26/14,134,471217,978298,65220,5,2,2,8,35,82,2,7,3,4,11
9/2/14,144,556526,2702480,141778,10,1,3,18,32,98,3,7,5,3,13
9/9/14,140,308218,495138,51238,1,0,4,2,7,85,3,14,9,3,15
9/16/14,140,276697,1030973,87867,22,34,2,1,67,99,1,9,8,3,16
9/23/14,133,432538,541843,58607,1,0,0,16,2,89,3,7,5,1,10
9/30/14,133,437653,1975872,55706,3,4,67,189,8,91,0,10,14,0,15
10/7/14,113,438302,974575,49518,4,0,1,12,17,80,0,10,9,2,14
10/14/14,130,341326,285177,46958,3,0,0,1,88,80,2,8,0,2,10
10/21/14,154,381035,290201,43880,0,0,0,2,7,107,3,9,7,1,11
10/28/14,139,399805,2691277,45958,3,4,9,15,198,90,9,3,2,0,4
11/4/14,156,679908,758210,101521,6,0,13,58,40,81,29,2,5,1,6
11/11/14,128,362208,2574535,71370,1,3,3,28,7,60,31,4,5,0,7
11/18/14,131,244678,189013,43598,0,3,4,1,1,91,17,4,2,0,4
11/25/14,135,376292,270244,44511,1,8,1,36,1,77,15,3,2,1,4
12/2/14,187,850938,3439858,57654,1,1,2,1,102,123,12,3,2,0,3
12/9/14,283,1607754,3978216,105953,31,9,28,61,242,231,15,10,6,0,12
12/16/14,211,386471,338263,64022,6,3,8,46,4,78,11,7,1,1,9
12/23/14,190,322943,105066,51525,0,0,0,0,0,92,15,1,2,0,2
12/30/14,169,515345,1773802,79770,9,2,0,44,12,100,11,7,3,0,9
