,0
2013-08-06,9
2013-08-13,0
2013-08-20,0
2013-08-27,0
2013-09-03,0
2013-09-10,0
2013-09-17,0
2013-09-24,0
2013-10-01,0
2013-10-08,0
2013-10-15,0
2013-10-22,103194
2013-10-29,1534
2013-11-05,2447
2013-11-12,10025
2013-11-19,190590
2013-11-26,42355
2013-12-03,2808
2013-12-10,31524
2013-12-17,8903
2013-12-24,2293
2013-12-31,2093
2014-01-07,3427
2014-01-14,5403
2014-01-21,4708
2014-01-28,10022
2014-02-04,3477
2014-02-11,6670
2014-02-18,75241
2014-02-25,9986
2014-03-04,8611
2014-03-11,126704
2014-03-18,24129
2014-03-25,61050
2014-04-01,195180
2014-04-08,82921
2014-04-15,117120
2014-04-22,153991
2014-04-29,374010
2014-05-06,199017
2014-05-13,236100
2014-05-20,36891
2014-05-27,121477
2014-06-03,466327
2014-06-10,52408
2014-06-17,57383
2014-06-24,257249
2014-07-01,124922
2014-07-08,24429
2014-07-15,16667
2014-07-22,12477
2014-07-29,52122
2014-08-05,118908
2014-08-12,115294
2014-08-19,32935
2014-08-26,88571
2014-09-02,147082
2014-09-09,18647
2014-09-16,31140
2014-09-23,57949
2014-09-30,92492
2014-10-07,65303
2014-10-14,29175
2014-10-21,40320
2014-10-28,77202
2014-11-04,145234
2014-11-11,115933
2014-11-18,18214
2014-11-25,71119
2014-12-02,266443
2014-12-09,541458
2014-12-16,31952
2014-12-23,18407
2014-12-30,96866
2015-01-06,102166
2015-01-13,22389
2015-01-20,52743
2015-01-27,34454
2015-02-03,131511
2015-02-10,154178
2015-02-17,11178
2015-02-24,33325
2015-03-03,15095
2015-03-10,11381
2015-03-17,10530
2015-03-24,23468
2015-03-31,7243
2015-04-07,18571
2015-04-14,27544
2015-04-21,14245
2015-04-28,53041
2015-05-05,8851
2015-05-12,18440
2015-05-19,51861
2015-05-26,9605
2015-06-02,57372
2015-06-09,7787
2015-06-16,23461
2015-06-23,22787
2015-06-30,26369
2015-07-07,15037
2015-07-14,5416
2015-07-21,8304
2015-07-28,11053
2015-08-04,17694
2015-08-11,8396
2015-08-18,76036
2015-08-25,41848
2015-09-01,116111
2015-09-08,151945
2015-09-15,125651
2015-09-22,34951
2015-09-29,24021
2015-10-06,129259
2015-10-13,21629
2015-10-20,55789
2015-10-27,60823
2015-11-03,21398
2015-11-10,65313
2015-11-17,33698
2015-11-24,82211
2015-12-01,25461
2015-12-08,18465
2015-12-15,11618
2015-12-22,6989
2015-12-29,8613
2016-01-05,9850
2016-01-12,9928
2016-01-19,9605
2016-01-26,14207
2016-02-02,12933
2016-02-09,9484
2016-02-16,5768
2016-02-23,5969
2016-03-01,6946
2016-03-08,11228
2016-03-15,17166
2016-03-22,22957
2016-03-29,9793
2016-04-05,9727
2016-04-12,9587
2016-04-19,12138
2016-04-26,11460
2016-05-03,13619
2016-05-10,15987
2016-05-17,15673
2016-05-24,20520
2016-05-31,32038
2016-06-07,22219
2016-06-14,14435
2016-06-21,40401
2016-06-28,13290
2016-07-05,5205
2016-07-12,29388
2016-07-19,10954
2016-07-26,15263
2016-08-02,8259
2016-08-09,14633
2016-08-16,5709
2016-08-23,5871
2016-08-30,4807
2016-09-06,6437
2016-09-13,3082
2016-09-20,7024
2016-09-27,5478
2016-10-04,12344
2016-10-11,9635
2016-10-18,6155
2016-10-25,5403
2016-11-01,3830
2016-11-08,27188
2016-11-15,74850
2016-11-22,8850
2016-11-29,6606
2016-12-06,7678
2016-12-13,3861
2016-12-20,5289
2016-12-27,2055
2017-01-03,11916
2017-01-10,5228
2017-01-17,7274
2017-01-24,18680
2017-01-31,18833
2017-02-07,6954
2017-02-14,8629
2017-02-21,6318
2017-02-28,7754
2017-03-07,13209
2017-03-14,16339
2017-03-21,31573
2017-03-28,14647
2017-04-04,13357
2017-04-11,10493
2017-04-18,10514
2017-04-25,2979
2017-05-02,6438
2017-05-09,2299
2017-05-16,17122
