,0
2013-08-06,9
2013-08-13,0
2013-08-20,0
2013-08-27,0
2013-09-03,0
2013-09-10,0
2013-09-17,0
2013-09-24,0
2013-10-01,0
2013-10-08,0
2013-10-15,0
2013-10-22,104036
2013-10-29,1534
2013-11-05,2447
2013-11-12,10025
2013-11-19,190647
2013-11-26,42347
2013-12-03,2808
2013-12-10,31521
2013-12-17,8902
2013-12-24,2291
2013-12-31,2093
2014-01-07,3425
2014-01-14,5402
2014-01-21,4709
2014-01-28,10021
2014-02-04,3477
2014-02-11,6670
2014-02-18,75361
2014-02-25,9985
2014-03-04,8609
2014-03-11,126816
2014-03-18,24130
2014-03-25,61110
2014-04-01,195162
2014-04-08,82912
2014-04-15,117109
2014-04-22,153990
2014-04-29,376188
2014-05-06,199032
2014-05-13,236072
2014-05-20,36887
2014-05-27,121447
2014-06-03,466407
2014-06-10,52395
2014-06-17,57374
2014-06-24,257243
2014-07-01,124932
2014-07-08,24424
2014-07-15,16663
2014-07-22,12475
2014-07-29,52115
2014-08-05,118917
2014-08-12,115390
2014-08-19,32928
2014-08-26,88585
2014-09-02,147094
2014-09-09,18645
2014-09-16,31212
2014-09-23,57945
2014-09-30,92665
2014-10-07,65301
2014-10-14,29211
2014-10-21,40313
2014-10-28,77309
2014-11-04,145275
2014-11-11,115920
2014-11-18,18220
2014-11-25,71138
2014-12-02,266473
2014-12-09,541606
2014-12-16,31990
2014-12-23,18404
2014-12-30,96875
2015-01-06,102157
2015-01-13,22391
2015-01-20,52735
2015-01-27,34545
2015-02-03,131586
2015-02-10,155303
2015-02-17,11175
2015-02-24,33315
2015-03-03,15089
2015-03-10,11383
2015-03-17,10540
2015-03-24,23462
2015-03-31,7239
2015-04-07,18577
2015-04-14,27560
2015-04-21,14244
2015-04-28,53043
2015-05-05,8849
2015-05-12,18452
2015-05-19,51853
2015-05-26,9691
2015-06-02,57562
2015-06-09,7786
2015-06-16,23461
2015-06-23,22776
2015-06-30,26369
2015-07-07,15061
2015-07-14,5413
2015-07-21,8301
2015-07-28,11127
2015-08-04,17699
2015-08-11,8394
2015-08-18,80310
2015-08-25,41975
2015-09-01,117063
2015-09-08,152257
2015-09-15,125591
2015-09-22,34928
2015-09-29,24020
2015-10-06,129340
2015-10-13,21620
2015-10-20,55922
2015-10-27,60782
2015-11-03,21378
2015-11-10,65297
2015-11-17,33691
2015-11-24,84202
2015-12-01,25439
2015-12-08,18469
2015-12-15,11611
2015-12-22,6987
2015-12-29,8607
2016-01-05,9835
2016-01-12,9930
2016-01-19,9607
2016-01-26,14203
2016-02-02,12970
2016-02-09,9498
2016-02-16,5856
2016-02-23,7049
2016-03-01,7814
2016-03-08,12109
2016-03-15,17730
2016-03-22,25587
2016-03-29,10357
2016-04-05,10428
2016-04-12,10110
2016-04-19,13492
2016-04-26,12638
2016-05-03,17014
2016-05-10,18297
2016-05-17,17101
2016-05-24,24884
2016-05-31,43487
2016-06-07,31249
2016-06-14,19673
2016-06-21,44273
2016-06-28,15258
2016-07-05,5862
2016-07-12,32047
2016-07-19,13100
2016-07-26,18095
2016-08-02,9012
2016-08-09,15844
2016-08-16,6318
2016-08-23,6733
2016-08-30,5324
2016-09-06,7890
2016-09-13,3824
2016-09-20,8322
2016-09-27,6383
2016-10-04,13225
2016-10-11,10563
2016-10-18,6699
2016-10-25,6495
2016-11-01,4967
2016-11-08,29842
2016-11-15,85670
2016-11-22,9534
2016-11-29,7305
2016-12-06,8257
2016-12-13,5469
2016-12-20,5904
2016-12-27,2377
2017-01-03,12731
2017-01-10,5878
2017-01-17,7858
2017-01-24,20923
2017-01-31,21773
2017-02-07,7747
2017-02-14,9869
2017-02-21,7360
2017-02-28,9083
2017-03-07,19094
2017-03-14,23425
2017-03-21,38133
2017-03-28,18680
2017-04-04,18253
2017-04-11,13599
2017-04-18,12917
2017-04-25,3707
2017-05-02,7845
2017-05-09,2779
2017-05-16,20143
