,0
2013-08-06,-999
2013-08-13,-999
2013-08-20,-999
2013-08-27,-999
2013-09-03,0
2013-09-10,0
2013-09-17,0
2013-09-24,0
2013-10-01,0
2013-10-08,0
2013-10-15,0
2013-10-22,9
2013-10-29,7
2013-11-05,7
2013-11-12,6
2013-11-19,3511
2013-11-26,1666
2013-12-03,1009
2013-12-10,3512
2013-12-17,5166
2013-12-24,4190
2013-12-31,3346
2014-01-07,5298
2014-01-14,7037
2014-01-21,7161
2014-01-28,9136
2014-02-04,6727
2014-02-11,8326
2014-02-18,19065
2014-02-25,10894
2014-03-04,9058
2014-03-11,22734
2014-03-18,14489
2014-03-25,14810
2014-04-01,44276
2014-04-08,32159
2014-04-15,35971
2014-04-22,62141
2014-04-29,129142
2014-05-06,117659
2014-05-13,126755
2014-05-20,67299
2014-05-27,147456
2014-06-03,209013
2014-06-10,123629
2014-06-17,126513
2014-06-24,201224
2014-07-01,179715
2014-07-08,88008
2014-07-15,70507
2014-07-22,70204
2014-07-29,131238
2014-08-05,174754
2014-08-12,122341
2014-08-19,103976
2014-08-26,100838
2014-09-02,133419
2014-09-09,78468
2014-09-16,79806
2014-09-23,132034
2014-09-30,136283
2014-10-07,142083
2014-10-14,96712
2014-10-21,109119
2014-10-28,129840
2014-11-04,197826
2014-11-11,114100
2014-11-18,68764
2014-11-25,141157
2014-12-02,282203
2014-12-09,281713
2014-12-16,108933
2014-12-23,85074
2014-12-30,167792
2015-01-06,249799
2015-01-13,105032
2015-01-20,127151
2015-01-27,83711
2015-02-03,116187
2015-02-10,137514
2015-02-17,65842
2015-02-24,130145
2015-03-03,85588
2015-03-10,68684
2015-03-17,62079
2015-03-24,114488
2015-03-31,59271
2015-04-07,77322
2015-04-14,63074
2015-04-21,71516
2015-04-28,83387
2015-05-05,63518
2015-05-12,66314
2015-05-19,145195
2015-05-26,62998
2015-06-02,98437
2015-06-09,57193
2015-06-16,80873
2015-06-23,100525
2015-06-30,102261
2015-07-07,75400
2015-07-14,46262
2015-07-21,60474
2015-07-28,56972
2015-08-04,62302
2015-08-11,63455
2015-08-18,105753
2015-08-25,102817
2015-09-01,141750
2015-09-08,216417
2015-09-15,162337
2015-09-22,120752
2015-09-29,111723
2015-10-06,167306
2015-10-13,106553
2015-10-20,137375
2015-10-27,124138
2015-11-03,117219
2015-11-10,179636
2015-11-17,126454
2015-11-24,127741
2015-12-01,118515
2015-12-08,100660
2015-12-15,77208
2015-12-22,67598
2015-12-29,70313
2016-01-05,75512
2016-01-12,76017
2016-01-19,60457
2016-01-26,60257
2016-02-02,73471
2016-02-09,62423
2016-02-16,51616
2016-02-23,57650
2016-03-01,47058
2016-03-08,73772
2016-03-15,95706
2016-03-22,109921
2016-03-29,80036
2016-04-05,76952
2016-04-12,81098
2016-04-19,80765
2016-04-26,75828
2016-05-03,74138
2016-05-10,82003
2016-05-17,87100
2016-05-24,89365
2016-05-31,88843
2016-06-07,90240
2016-06-14,58253
2016-06-21,146136
2016-06-28,80773
2016-07-05,53380
2016-07-12,92058
2016-07-19,66280
2016-07-26,90654
2016-08-02,67870
2016-08-09,73087
2016-08-16,56035
2016-08-23,47970
2016-08-30,48514
2016-09-06,52621
2016-09-13,36093
2016-09-20,53839
2016-09-27,49265
2016-10-04,73739
2016-10-11,69068
2016-10-18,54290
2016-10-25,50572
2016-11-01,38376
2016-11-08,109419
2016-11-15,143878
2016-11-22,65196
2016-11-29,58277
2016-12-06,60239
2016-12-13,39160
2016-12-20,43581
2016-12-27,28729
2017-01-03,68979
2017-01-10,52875
2017-01-17,54930
2017-01-24,92891
2017-01-31,85771
2017-02-07,51362
2017-02-14,47569
2017-02-21,47088
2017-02-28,62084
2017-03-07,65009
2017-03-14,57621
2017-03-21,85930
2017-03-28,55482
2017-04-04,43876
2017-04-11,41486
2017-04-18,56416
2017-04-25,28500
2017-05-02,39476
2017-05-09,25792
2017-05-16,58552
