,0
2013-08-06,-999
2013-08-13,-999
2013-08-20,-999
2013-08-27,-999
2013-09-03,0
2013-09-10,0
2013-09-17,0
2013-09-24,0
2013-10-01,0
2013-10-08,0
2013-10-15,0
2013-10-22,9
2013-10-29,7
2013-11-05,7
2013-11-12,6
2013-11-19,3537
2013-11-26,1674
2013-12-03,1009
2013-12-10,3524
2013-12-17,5167
2013-12-24,4192
2013-12-31,3346
2014-01-07,5300
2014-01-14,7038
2014-01-21,7161
2014-01-28,9138
2014-02-04,6728
2014-02-11,8327
2014-02-18,19112
2014-02-25,10896
2014-03-04,9059
2014-03-11,22764
2014-03-18,14493
2014-03-25,14817
2014-04-01,44296
2014-04-08,32174
2014-04-15,35992
2014-04-22,62175
2014-04-29,129362
2014-05-06,117704
2014-05-13,126780
2014-05-20,67306
2014-05-27,147512
2014-06-03,209140
2014-06-10,123670
2014-06-17,126550
2014-06-24,201296
2014-07-01,179753
2014-07-08,88020
2014-07-15,70517
2014-07-22,70207
2014-07-29,131249
2014-08-05,174811
2014-08-12,122409
2014-08-19,103994
2014-08-26,100873
2014-09-02,133465
2014-09-09,78484
2014-09-16,79861
2014-09-23,132060
2014-09-30,136372
2014-10-07,142121
2014-10-14,96766
2014-10-21,109136
2014-10-28,129947
2014-11-04,197895
2014-11-11,114160
2014-11-18,68768
2014-11-25,141187
2014-12-02,282282
2014-12-09,281858
2014-12-16,108963
2014-12-23,85079
2014-12-30,167845
2015-01-06,249836
2015-01-13,105044
2015-01-20,127170
2015-01-27,83751
2015-02-03,116234
2015-02-10,137743
2015-02-17,65850
2015-02-24,130168
2015-03-03,85600
2015-03-10,68705
2015-03-17,62103
2015-03-24,114494
2015-03-31,59282
2015-04-07,77345
2015-04-14,63089
2015-04-21,71530
2015-04-28,83418
2015-05-05,63523
2015-05-12,66324
2015-05-19,145254
2015-05-26,63088
2015-06-02,98608
2015-06-09,57204
2015-06-16,80890
2015-06-23,100537
2015-06-30,102279
2015-07-07,75416
2015-07-14,46271
2015-07-21,60479
2015-07-28,57028
2015-08-04,62342
2015-08-11,63464
2015-08-18,107166
2015-08-25,102969
2015-09-01,142356
2015-09-08,216808
2015-09-15,162470
2015-09-22,120796
2015-09-29,111775
2015-10-06,167468
2015-10-13,106612
2015-10-20,137606
2015-10-27,124266
2015-11-03,117285
2015-11-10,179713
2015-11-17,126564
2015-11-24,128569
2015-12-01,118614
2015-12-08,100721
2015-12-15,77278
2015-12-22,67653
2015-12-29,70364
2016-01-05,75609
2016-01-12,76135
2016-01-19,60550
2016-01-26,60360
2016-02-02,73616
2016-02-09,62531
2016-02-16,51743
2016-02-23,62148
2016-03-01,51989
2016-03-08,78057
2016-03-15,99329
2016-03-22,120001
2016-03-29,85427
2016-04-05,81708
2016-04-12,86227
2016-04-19,88680
2016-04-26,82708
2016-05-03,84146
2016-05-10,91606
2016-05-17,94471
2016-05-24,100790
2016-05-31,105874
2016-06-07,106238
2016-06-14,71841
2016-06-21,160138
2016-06-28,91296
2016-07-05,61826
2016-07-12,105038
2016-07-19,79244
2016-07-26,103968
2016-08-02,77178
2016-08-09,82934
2016-08-16,64600
2016-08-23,57736
2016-08-30,56687
2016-09-06,65336
2016-09-13,44655
2016-09-20,65144
2016-09-27,59099
2016-10-04,82886
2016-10-11,79065
2016-10-18,62917
2016-10-25,63077
2016-11-01,49688
2016-11-08,124598
2016-11-15,157212
2016-11-22,74319
2016-11-29,66034
2016-12-06,67587
2016-12-13,51898
2016-12-20,50652
2016-12-27,34995
2017-01-03,76846
2017-01-10,62009
2017-01-17,63342
2017-01-24,103666
2017-01-31,99014
2017-02-07,60329
2017-02-14,57476
2017-02-21,58547
2017-02-28,73000
2017-03-07,88135
2017-03-14,80141
2017-03-21,107685
2017-03-28,71810
2017-04-04,61578
2017-04-11,59714
2017-04-18,77005
2017-04-25,41939
2017-05-02,52515
2017-05-09,34008
2017-05-16,75314
