week,T_intl_solidarity,T_motivational,T_regions,T_protests,T_terrorism_middle_east,T_criticism_politicians,T_military,T_crime,T_online_promotion,T_trump,T_bible,T_criticism_Facebook,T_elections,T_immigration,T_brexit,T_misc_news,T_email_promotion,T_terrorism_europe,T_islam_sex,T_refugees,T_self_promotion,T_islam_videos,T_leadership,T_media_and_aid,T_merchandise,T_UKIP_misc,T_islam_general,T_terrorism_general,T_islam_sharia,T_misc_values,M_motivational,M_promotional,M_repression,M_islam,M_terrorism,M_politics,M_immigration,issue_total,instrumental_total,main_total
2013-10-22,2,2,3,2,2,2,2,2,4,1,2,1,1,3,2,2,4,2,1,2,3,2,2,2,1,2,2,2,1,2,3,4,1,2,2,2,2,2,0,0
2013-10-29,6,5,4,2,7,5,4,2,1,3,3,4,5,3,3,2,1,3,3,4,8,6,1,6,7,4,3,2,4,5,8,2,5,5,3,7,3,5,2,0
2013-11-05,6,8,5,8,6,6,5,8,13,3,7,7,8,4,3,2,3,2,5,6,11,5,7,3,11,6,6,7,3,7,12,13,7,9,3,6,5,11,0,0
2013-11-12,14,6,16,9,17,15,5,15,19,17,6,7,16,19,16,17,6,16,5,16,9,17,13,4,9,5,5,5,3,19,9,22,7,5,17,17,17,19,0,0
2013-11-19,13,6,10,14,13,12,6,13,19,15,7,16,10,13,9,12,4,12,6,12,15,13,11,16,8,9,7,13,5,15,15,20,16,5,13,11,20,15,5,0
2013-11-26,19,9,7,17,21,18,14,22,23,19,15,19,24,17,16,5,5,18,11,17,14,19,11,5,13,5,6,22,4,18,16,20,19,11,21,24,32,27,21,11
2013-12-03,17,7,16,5,6,16,7,21,25,18,9,10,22,9,13,10,2,19,8,16,8,16,8,6,8,9,4,20,19,12,9,25,9,6,20,20,22,21,12,0
2013-12-10,17,14,21,19,5,17,7,6,25,19,8,12,7,9,15,20,3,18,10,20,22,20,5,6,12,9,6,22,9,25,20,24,13,10,20,22,25,27,12,0
2013-12-17,24,13,20,24,26,24,11,9,26,26,14,12,7,15,17,11,8,22,18,20,31,27,13,11,22,15,10,27,6,9,33,30,12,12,26,13,30,36,35,15
2013-12-24,13,10,12,9,4,12,11,13,23,12,8,12,5,13,7,5,6,10,11,12,19,14,9,9,13,11,10,17,4,7,17,24,12,12,11,12,16,20,15,6
2013-12-31,4,9,19,13,17,22,14,3,16,18,10,10,10,8,15,10,5,18,9,14,19,14,9,7,16,8,10,18,7,13,17,23,11,12,17,12,10,22,21,20
2014-01-07,15,15,15,20,17,14,16,6,21,12,12,9,15,9,14,15,4,11,8,13,18,12,11,12,23,9,10,20,13,11,24,25,9,15,14,18,15,30,29,10
